Total messages: 189 (Errors: 0, Warnings: 0)

[LOG] [紧急采购成功] 零售店#2 商品54 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品48 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品49 采购量:18 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品30 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品29 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#3 商品30 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#4 商品59 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#10 商品72 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#11 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#11 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#11 商品72 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#12 商品77 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#13 商品75 采购量:3 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品63 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品77 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品58 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品65 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品79 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品78 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品63 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品77 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品56 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品58 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品65 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品79 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品78 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [派生需求 T30] Top5: 电力:54064288, 粮食:64139, 硅石:29997, 塑料:25433, 铝土矿:22183 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/DemandCurve.ts:460
[LOG] [紧急采购成功] 零售店#26 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#26 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#26 商品72 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [需求衰减 T30] 总缺口:50753709, 总供给:19651313, 零供应:7 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/DemandCurve.ts:568
[LOG] [货币供应 T30] 企业: ¥15241.46亿 | 家庭: ¥1812.13亿 | 银行: ¥18000.00亿 | 总计: ¥35053.59亿 | 累计工资: ¥15.95亿 | 累计消费: ¥3.82亿 @ http://127.0.0.1:5175/supply-chain-commander/src/core/loop/GameLoop.ts:615
[LOG] [MonthlyPriceTracker] Generated report for 1-1, 80 goods @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/MonthlyPriceTracker.ts:235
[LOG] [紧急采购成功] 零售店#0 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#0 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品64 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品53 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品54 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品48 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品49 采购量:10 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品30 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品29 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品79 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品78 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#3 商品30 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#5 商品58 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#10 商品72 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#11 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#11 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#11 商品72 采购量:12 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#18 商品59 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#19 商品57 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [速率] 1.00 tick/秒 = 1.00 游戏天/秒 | 距上次:10.0秒 | 倍速:1x @ http://127.0.0.1:5175/supply-chain-commander/src/core/loop/GameLoop.ts:412
[LOG] [紧急采购成功] 零售店#26 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#26 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#26 商品72 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#0 商品64 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#0 商品54 采购量:31 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#0 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#0 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#1 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#1 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品64 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品53 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品54 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品48 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品49 采购量:29 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品30 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品29 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品79 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品78 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#2 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#3 商品30 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#4 商品59 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#10 商品72 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#11 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#11 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#11 商品72 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品63 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#16 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品63 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品71 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
[LOG] [紧急采购成功] 零售店#17 商品73 采购量:50 @ http://127.0.0.1:5175/supply-chain-commander/src/core/economy/RetailSystem.ts:432
